"long","lat","n","cat"
-103.480904522613,20.570351758794,10.4226360743178,"Muy alta"
-103.478894472362,20.570351758794,10.7801118127836,"Muy alta"
-103.476884422111,20.570351758794,11.1412627686204,"Muy alta"
-103.474874371859,20.570351758794,11.5027922561794,"Muy alta"
-103.472864321608,20.570351758794,11.861140184792,"Muy alta"
-103.470854271357,20.570351758794,12.2125777348601,"Muy alta"
-103.468844221106,20.570351758794,12.5533183429288,"Muy alta"
-103.466834170854,20.570351758794,12.8796404748427,"Muy alta"
-103.464824120603,20.570351758794,13.1880186235785,"Muy alta"
-103.462814070352,20.570351758794,13.4752626441314,"Muy alta"
-103.4608040201,20.570351758794,13.7386720648428,"Muy alta"
-103.458793969849,20.570351758794,13.9762202934753,"Muy alta"
-103.456783919598,20.570351758794,14.1867911308391,"Muy alta"
-103.454773869347,20.570351758794,14.3704929765581,"Muy alta"
-103.452763819095,20.570351758794,14.5290703785249,"Muy alta"
-103.450753768844,20.570351758794,14.666414278041,"Muy alta"
-103.448743718593,20.570351758794,14.7891381186546,"Muy alta"
-103.446733668342,20.570351758794,14.9071337491405,"Muy alta"
-103.44472361809,20.570351758794,15.0339460300438,"Muy alta"
-103.442713567839,20.570351758794,15.1867101758162,"Muy alta"
-103.440703517588,20.570351758794,15.3852993866349,"Muy alta"
-103.438693467337,20.570351758794,15.6502852197518,"Muy alta"
-103.436683417085,20.570351758794,15.9994196000098,"Muy alta"
-103.434673366834,20.570351758794,16.4427299759427,"Muy alta"
-103.432663316583,20.570351758794,16.9770342945831,"Muy alta"
-103.430653266332,20.570351758794,17.5815617957924,"Muy alta"
-103.42864321608,20.570351758794,18.2169090249918,"Muy alta"
-103.426633165829,20.570351758794,18.8290974664269,"Muy alta"
-103.424623115578,20.570351758794,19.3587294506287,"Muy alta"
-103.422613065327,20.570351758794,19.7528132409134,"Muy alta"
-103.420603015075,20.570351758794,19.9752336842739,"Muy alta"
-103.418592964824,20.570351758794,20.0123049139984,"Muy alta"
-103.416582914573,20.570351758794,19.8721510734104,"Muy alta"
-103.414572864322,20.570351758794,19.579282848088,"Muy alta"
-103.41256281407,20.570351758794,19.1671429152975,"Muy alta"
-103.410552763819,20.570351758794,18.6711958259621,"Muy alta"
-103.408542713568,20.570351758794,18.1240093573815,"Muy alta"
-103.406532663317,20.570351758794,17.5526066390739,"Muy alta"
-103.404522613065,20.570351758794,16.9776528676302,"Muy alta"
-103.402512562814,20.570351758794,16.4138117846742,"Muy alta"
-103.400502512563,20.570351758794,15.870680379694,"Muy alta"
-103.398492462312,20.570351758794,15.3538934606568,"Muy alta"
-103.39648241206,20.570351758794,14.8661672562612,"Muy alta"
-103.394472361809,20.570351758794,14.4081797041345,"Muy alta"
-103.392462311558,20.570351758794,13.9792622919049,"Muy alta"
-103.390452261307,20.570351758794,13.5779172769599,"Muy alta"
-103.388442211055,20.570351758794,13.202189328229,"Muy alta"
-103.386432160804,20.570351758794,12.8499231337055,"Muy alta"
-103.384422110553,20.570351758794,12.5189352727084,"Muy alta"
-103.382412060302,20.570351758794,12.2071235121084,"Muy alta"
-103.38040201005,20.570351758794,11.912531515537,"Muy alta"
-103.378391959799,20.570351758794,11.6333824970916,"Muy alta"
-103.376381909548,20.570351758794,11.3680917860029,"Muy alta"
