Colonia,NoAsignacion,Descripcion,MontoContratado,EmpresaContratista,ClaseAsigna,ZonaC,Rubro,SubRubro,FechaInicio,FechaTermino,StatusAdmvo,Control,Anio
266,041/P-OT-C02-07,ELABORACION DE PROYECTOS PARA EL TRAZO NIVELACION Y CONFORMACION DE TERRACERIAS PARA LOS SIGUIENTES COMITES DE OBRA DEL PROGRAMA DE ESFUERZOS COMPARTIDOS: COMITE Nº. 298 DE LA COL. NUEVO MEXICO SUR  Y COMITE Nº. 72 DE LA COL. PARAISOS DEL COLLI,108000,ING. RAMON ESQUEDA AGUAYO,Estudio y/o Proyecto,7,Infraestructura Urbana,Infraestructura Vial,4-Jun-07,18-Jul-07,Finiquitada,1,2007
243,045/N-AD-C02-07,SEGUNDA ETAPA PARA LA CONSTRUCCION DE EMPEDRADO UBICADO EN LA CALLE EMILIO PORTES GIL ENTRE LA CALLE JUAREZ Y MIGUEL ALEMAN EN LA COLONIA MIGUEL DE LA MADRID,176686.32,MASSOL CONSTRUCTORA S.A. DE C.V.,Obra,8,Infraestructura Urbana,Infraestructura Vial,14-May-07,14-Jun-07,Finiquitada,1,2007
255,046/N-AD-C02-07,SEGUNDA ETAPA CONSTRUCCIoN DE BAniO GARRAPATICIDA UBICADO  A  2 KM DEL NUCLEO EJIDAL EN EL  EJIDO DE NEXTIPAC,246865.05,CONSTRUCTORA IZORCAM S.A. DE C.V.,Obra,RS,Infraestructura Urbana,Infraestructura Rural,14-May-07,14-Jun-07,Finiquitada,1,2007
367,048/N-OT-C02-07,REHABILITACION DE SANITARIOS EN LA ESCUELA SECUNDARIA REPUBLICA ITALIANA UBICADA EN LA CALLE 9 NUMERO 180 ENTRE LA AVENIDA ZOQUIPAN Y LAGO CAMECUARO EN LA COLONIA EL SEATLE EN ZAPOPAN JAL.,74936.59,CONSTRUCTIO GERENS S.A. DE C.V.,Obra,1B,Equipamiento Urbano,Educacion,30-Abr-07,21-Jun-07,Finiquitada,1,2007
237,050/P-CR-C02-07,CONSTRUCCION DE CARRILES CENTRALES EN LA AV. PROLONGACION MARIANO OTERO DE LOS CADENAMIENTOS 1+570 AL 1+905 Y DEL 2+040 AL 2+261  EN LA COLONIA MARIANO OTERO,5697342.43,TORRES AGUIRRE INGENIEROS S.A. DE C.V.,Obra,7,Infraestructura Urbana,Infraestructura Vial,7-Jul-07,7-Nov-07,Finiquitada,1,2007
71,051/P-AD-C02-07,ELABORACION DE PROYECTO INTEGRAL PARA EL EDIFICIO CENTRAL DE SEGURIDAD PUBLICA DE ZAPOPAN UBICADO EN PREDIO MUNICIPAL SOBRE LATERAL A PERIFERICO ESQUINA CON CALLE MELCHOR OCAMPO,1088611.29,CONSTRUCTORA DALMA S.A. DE C.V.,Estudio y/o Proyecto,5A,Equipamiento Urbano,Seguridad Publica,13-Jul-07,30-Nov-07,Finiquitada,1,2007
221,054/P-OT-C03-07,REPOSICION DE LOSAS DE CONCRETO HIDRAULICO UBICADAS EN LA AVENIDA  TORREMOLINOS ENTRE LAS AVENIDAS DE LA MANCHA Y COVADONGA EN LA COLONIA LOMAS DE ZAPOPAN,100783.9,GALJACK ARQUITECTOS Y CONSTRUCCIONES S.A. DE C.V.,Obra,3,Infraestructura Urbana,Infraestructura Vial,4-Jun-07,3-Jul-07,Finiquitada,1,2007
361,055/P-AD-C03-07,CONSTRUCCION DE MURO DE CONTENCION DE MAMPOSTEO EN EL PREDIO DEL PARQUE HUINDIDO UBICADO EN LA CALLE SANTA ESTELA ENTRE LAS CALLES SANTA TERESA Y SANTA ESTHER EN LA COLONIA SANTA MARGARITA,837076.08,SG CONSTRUCTORES S.A. DE C.V.,Obra,1A,Equipamiento Urbano,Areas Verdes,21-May-07,5-Jul-07,Terminada sin Finiquitar,1,2007
291,056/N-AD-C03-07,"INSTALACION DE LA RED DE AGUA POTABLE CON TUBERIA DE P.V.C. DE 8"" DE DIAMETRO CLASE RD-26 UBICADA EN LA CALLE EMILIANO ZAPATA ENTRE LAS CALLES DE 7a. PONIENTE Y PASEO DE LOS MIRASOLES EN LA COL. PRADERAS DE SAN ANTONIO",311696.92,CONSTRUCTORA BUENO S.A. DE C.V.,Obra,RS,Infraestructura Urbana,Agua Potable,21-May-07,21-Jun-07,Finiquitada,1,2007
36,057/N-AD-C03-07,CONSTRUCCION DE EMPEDRADO ZAMPEADO EN LA CALLE SAUCITO ENTRE LA AV. ALCALDE Y LA CALLE FCO. I. MADERO EN LA COL. EL BATAN,340915.43,LIM CONSTRUCTORA S.A. DE C.V.,Obra,1B,Infraestructura Urbana,Infraestructura Vial,21-May-07,26-Jun-07,Finiquitada,1,2007
164,059/P-AD-C04-07,CONSTRUCCIoN DE TRANSICIONES LiNEA DE MEDIA TENSIoN SUBTERRANEA Y LiNEA DE ALUMBRADO PuBLICO EN EL KILOMETRO 6+000 UBICACIoN: AVENIDA JUAN GIL PRECIADO CON EL CRUCE DE LA CALLE SAN DIEGO EN LA COLONIA HOGARES DE NVO. MEXICO,561442.12,CONSTRUCCIONES Y ESTRUCTURAS ITZ S.A. DE C.V.,Obra,3,Infraestructura Urbana,Alumbrado Publico,11-Jun-07,11-Jul-07,En proceso,1,2007
371,060/P-OT-C04-07,CONSTRUCCIoN DE TECHUMBRE EN EL ESTACIONAMIENTO INTERNO DE LA DIRECCION GENERAL DE OBRAS PUBLICAS UBICADO EN LA AVENIDA LAURELES Nº. 250 EN LA COLONIA TEPEYAC,154243.8,STELLA CONSTRUCCIONES S.A.. DE C.V.,Obra,1B,Equipamiento Urbano,Administracion y Gobierno,21-May-07,21-Jun-07,Finiquitada,1,2007
373,061/P-OT-C04-07,ESTUDIO DE MECANICA DE SUELOS A DESARROLLARSE EN EL NUEVO CEMENTERIO DE TESISTAN,10350,ING. EDUARDO ALONSO LOPEZ FLORES,Estudio y/o Proyecto,RS,Equipamiento Urbano,Cementerios,4-Jun-07,19-Jun-07,Finiquitada,1,2007
373,062/P-CA-C04-07,CONSTRUCCION DE SEGUNDA ETAPA DEL SUBCENTRO URBANO DE TESISTAN UBICADO SOBRE LA AV. PASEO RIO BLANCO,1375932.61,CONSTRUCTORA SUBURBANA S.A DE C.V,Convenio Adicional,RS,Equipamiento Urbano,Administracion y Gobierno,18-Jun-07,18-Jul-07,Finiquitada,1,2007
65,063/P-CA-C04-07,SEGUNDA ETAPA PARA LAS OBRAS DE REMODELACION EN LAS OFICINAS DE PADRON Y LICENCIAS UBICADAS EN LA PLANTA BAJA DE PRESIDENCIA MUNICIPAL EN LA CABECERA MUNICIPAL.,82558.55,ING. SERGIO ADRIAN LLAMAS MONREAL,Convenio Adicional,1A,Equipamiento Urbano,Administracion y Gobierno,30-Abr-07,15-May-07,Finiquitada,1,2007
296,065/P-AD-C04-07,SUMINISTRO Y COLOCACION DE JUNTAS DE CALZADA TIPO FREYMEX T50 UBICADAS EN EL PASO SUPERIOR DE LA AVENIDA VALLARTA EN SU CRUCE CON LA AVENIDA PATRIA EN LA COLONIA PRADOS VALLARTA,970456.25,OBRAS Y COMERCIALIZACION DE LA CONSTRUCCION S.A. DE C.V.,Obra,5A,Equipamiento Urbano,Equipamiento Vial,18-Jun-07,17-Ago-07,Finiquitada,1,2007
