"","colonia","dia.sem","long","lat","n"
"213","AGUILAS LAS","Thu",-103.41312472,20.626602342,5
"214","ALTAGRACIA","Mon",-103.3925973,20.742785272,5
"215","ARENALES TAPATIOS","Sun",-103.45808656,20.634682538,5
"216","AUDITORIO","Fri",-103.34921204,20.731664164,5
"217","BALCONES DE LA CANTERA","Thu",-103.3522744,20.744337032,5
"218","BATAN EL","Wed",-103.34338076,20.722100208,5
"219","BENITO JUAREZ","Wed",-103.33905364,20.73163971,5
"220","BRISEniO EL","Wed",-103.4372507,20.625994638,5
"221","BUGAMBILIAS","Mon",-103.44347956,20.602510276,5
"222","CABAniITAS","Mon",-103.36744192,20.756314406,5
"223","CALMA LA","Fri",-103.41369508,20.636377802,5
"224","CAMINO REAL","Fri",-103.4120025,20.670524908,5
"225","CAMINO REAL","Thu",-103.41207854,20.669223952,5
"226","CARRETERA A NOGALES","Mon",-103.52811588,20.721376158,5
"227","CHAPALITA","Thu",-103.40074248,20.6614551,5
"228","CHAPALITA","Tue",-103.4047693,20.66395633,5
"229","CIUDAD DEL SOL","Sun",-103.40740562,20.650642982,5
"230","CIUDAD DEL SOL","Tue",-103.40667054,20.652409916,5
"231","CIUDAD GRANJA","Sat",-103.44959536,20.682323478,5
"232","CIUDAD GRANJA","Wed",-103.44576424,20.684324874,5
"233","COLINAS DE ATEMAJAC","Wed",-103.36339968,20.717995572,5
"234","CONSTITUCION","Sun",-103.3663685,20.72753908,5
"235","CONSTITUCION","Tue",-103.3639026,20.729031118,5
"236","CORONILLA LA","Wed",-103.32805662,20.756502432,5
"237","ESTADIO OMNILIFE","Sun",-103.46051408,20.687074314,5
"238","ESTANCIA LA","Sun",-103.42801118,20.668264556,5
"239","FORTIN EL","Thu",-103.47159428,20.626535058,5
"240","INDUSTRIAL BELENES","Sat",-103.38759996,20.737452046,5
"241","JARDINES DE GUADALUPE","Fri",-103.42711424,20.663816446,5
"242","JARDINES DE GUADALUPE","Thu",-103.42265074,20.663956654,5
"243","JARDINES DE GUADALUPE","Wed",-103.42681404,20.66493123,5
"244","JARDINES DE NUEVO MEXICO","Thu",-103.44845698,20.76684534,5
"245","JARDINES DE SAN IGNACIO","Mon",-103.40613728,20.670538628,5
"246","JARDINES DEL SOL","Mon",-103.414049,20.647638234,5
"247","JARDINES DEL SOL","Tue",-103.41736166,20.65129078,5
"248","JARDINES DEL VALLE","Sun",-103.43117742,20.74542849,5
"249","JARDINES DEL VALLE","Wed",-103.4311301,20.749400426,5
"250","JARDINES TEPEYAC","Mon",-103.42230808,20.659491124,5
"251","JARDINES UNIVERSIDAD","Fri",-103.41935018,20.688027532,5
"252","JARDINES UNIVERSIDAD","Mon",-103.4213416,20.687649396,5
"253","JARDINES UNIVERSIDAD","Thu",-103.41998058,20.688160016,5
"254","JARDINES VALLARTA","Sat",-103.42192916,20.68152431,5
"255","JARDINES VALLARTA","Tue",-103.42733126,20.682115872,5
