"Estacion","TMedia","TMin","TMax","Tobs","Fecha"
"GUAJL","19.5","13","26","13.5","3/9/2014 12:00:00 AM"
"GUCJL","20","11.1","28.8","12.8","3/9/2014 12:00:00 AM"
"GUAJL","17.8","10.5","25","11.0","3/11/2014 12:00:00 AM"
"GUCJL","17.8","7.5","28","8.4","3/11/2014 12:00:00 AM"
"GUAJL","19.3","13","25.5","13.5","3/10/2014 12:00:00 AM"
"GUCJL","19.1","10.9","27.3","11.8","3/10/2014 12:00:00 AM"
"GUAJL","18.5","10.5","26.5","11.0","3/12/2014 12:00:00 AM"
"GUAJL","20","11","29","13.0","3/13/2014 12:00:00 AM"
"GUCJL","19.8","8","31.5","9.5","3/13/2014 12:00:00 AM"
"GUAJL","21.3","12.5","30","13.5","3/14/2014 12:00:00 AM"
"GUCJL","21","9.5","32.4","10.5","3/14/2014 12:00:00 AM"
"GUAJL","21.3","12.5","30","13.5","3/14/2014 12:00:00 AM"
"GUCJL","21","9.5","32.4","10.5","3/14/2014 12:00:00 AM"
"GUAJL","20.8","14","27.5","14.5","3/15/2014 12:00:00 AM"
"GUCJL","21.1","10.9","31.2","12.0","3/15/2014 12:00:00 AM"
"GUAJL","18.7","11","26.5","13.0","3/19/2014 12:00:00 AM"
"GUCJL","20.1","10.7","29.6","11.6","3/19/2014 12:00:00 AM"
"GUAJL","20.5","13","28","14","3/20/2014 12:00:00 AM"
"GUCJL","20.9","11","30.8","12.1","3/20/2014 12:00:00 AM"
"GUAJL","22.7","14","31.5","15.5","3/21/2014 12:00:00 AM"
"GUCJL","23.4","13.2","33.5","14.8","3/21/2014 12:00:00 AM"
"GUAJL","23.2","16","30.5","16.5","3/22/2014 12:00:00 AM"
"GUCJL","23.2","13.4","33","15","3/22/2014 12:00:00 AM"
"GUAJL","23.2","15.5","31","16.0","3/23/2014 12:00:00 AM"
"GUCJL","22.5","12.3","32.8","15.0","3/23/2014 12:00:00 AM"
"GUAJL","24.7","16","33.5","16.5","3/24/2014 12:00:00 AM"
"GUCJL","23.6","12","35.2","13.0","3/24/2014 12:00:00 AM"
"GUAJL","24","16","32","16.5","3/25/2014 12:00:00 AM"
"GUCJL","22.6","11.8","33.4","13","3/25/2014 12:00:00 AM"
"GUAJL","23.2","15.5","31","16","3/26/2014 12:00:00 AM"
"GUCJL","22.7","11.8","33.7","14.5","3/26/2014 12:00:00 AM"
"GUAJL","22","15","29","15","3/27/2014 12:00:00 AM"
"GUCJL","21.5","11.5","31.6","12.9","3/27/2014 12:00:00 AM"
"GUAJL","21.5","15","28","15.5","3/28/2014 12:00:00 AM"
"GUCJL","22.9","13.4","32.5","14.0","3/28/2014 12:00:00 AM"
"GUAJL","21.7","15","28.5","16","3/29/2014 12:00:00 AM"
"GUCJL","21.4","12","30.8","16.8","3/29/2014 12:00:00 AM"
"GUAJL","22.7","15","30.5","16.0","3/30/2014 12:00:00 AM"
"GUAJL","22.2","15","29.5","15.5","3/31/2014 12:00:00 AM"
"GUCJL","22.2","11.5","33","12.5","3/31/2014 12:00:00 AM"
